id1,id2,name,district1,district2,dist_m
1577,1585,Go Asia,Berlin,Berlin,4.31
3639,3640,Yörem Baklava,Berlin,Berlin,4.35
606,610,Bäckerei Wahl,Berlin,Berlin,4.56
6115,6116,Balkan Minimarkt EU 2,Wilmersdorf,Wilmersdorf,4.90
569,570,Bäckerei Konditorei Vetter,Berlin,Berlin,6.03
6026,6027,Bio Company,Weißensee,Weißensee,7.96
1302,1303,Edeka Drogerie,Berlin,Berlin,8.33
6147,6148,Fleischerei Bachhuber,Wilmersdorf,Wilmersdorf,8.48
551,552,Bäckerei Ergün,Berlin,Berlin,12.27
2296,2599,MEGA,Berlin,Berlin,12.37
730,5297,Bekarei,Berlin,Prenzlauer Berg,13.42
2159,2160,Lindner,Berlin,Berlin,15.74
1036,1038,Denns BioMarkt,Berlin,Berlin,17.17
3050,3051,ServiceStore DB,Berlin,Berlin,18.13
1093,1102,Ditsch,Berlin,Berlin,19.85
966,967,Cuccis,Berlin,Berlin,21.80
2707,2826,PENNY,Berlin,Berlin,22.27
1772,3743,Kaufland,Berlin,Buch,24.38
1794,1795,Kamps,Berlin,Berlin,24.91
1172,1173,dm,Berlin,Berlin,25.27
500,501,BackBaron,Berlin,Berlin,27.60
2706,2831,PENNY,Berlin,Berlin,32.54
1082,1083,Ditsch,Berlin,Berlin,33.03
2699,2817,PENNY,Berlin,Berlin,34.36
4385,4386,PENNY,Hönow,Hönow,39.10
2718,2866,PENNY,Berlin,Berlin,43.25
2351,2356,Minimarkt,Berlin,Berlin,45.01
2834,5414,REWE,Berlin,Prenzlauer Berg,46.25
